26500,26800,26300,26300,26400
25900,25900,25500,25900,25500
26200,25900,25400,25700,25700
25400,25200,25500,25200,25300
25600,25600,25700,25200,25200
25200,25200,24700,24600,24700
24400,24700,24300,24400,24200
23700,24200,23900,24000,23600
24300,23700,23500,23600,23500
23500,23400,23400,22900,22900
22600,22700,22900,22500,22800
22600,22600,22200,21800,22500
21800,22200,21600,21500,21900
21200,21600,21700,21600,21400
27200,180000,171000,162000,153000
153000,154000,154000,156000,158000
160000,158000,155000,152000,151000
150000,149000,150000,151000,151000
153000,155000,157000,167000,176000
185000,187000,189000,190000,191000
192000,192000,198000,204000,211000
216000,222000,228000,227000,225000
223000,227000,232000,237000,236000
235000,235000,241000,248000,254000
255000,256000,257000,264000,271000
278000,276000,274000,272000,275000
277000,280000,280000,281000,281000
285000,289000,293000,291000,290000
288000,292000,296000,3e+05,302000
304000,306000,305000,304000,303000
303000,302000,301000,301000,301000
302000,307000,312000,317000,309000
301000,293000,299000,305000,312000
311000,312000,312000,309000,306000
303000,307000,311000,316000,312000
308000,305000,304000,304000,304000
304000,304000,303000,3e+05,297000
293000,293000,294000,294000,299000
304000,309000,3e+05,291000,282000
282000,283000,284000,281000,278000
275000,275000,274000,274000,273000
273000,273000,271000,271000,270000
264000,258000,252000,249000,245000
242000,237000,233000,228000,227000
225000,224000,220000,215000,211000
211000,211000,211000,207000,203000
199000,188000,176000,165000,169000
174000,178000,176000,174000,171000
171000,171000,170000,175000,180000
185000,184000,183000,182000,188000
194000,2e+05,2e+05,2e+05,2e+05
208000,217000,225000,225000,224000
223000,228000,233000,237000,233000
229000,224000,232000,239000,247000
249000,252000,254000,255000,257000
258000,262000,265000,269000,278000
287000,296000,294000,291000,289000
292000,296000,3e+05,295000,289000
283000,287000,292000,296000,295000
294000,292000,293000,294000,295000
293000,291000,289000,291000,293000
295000,290000,285000,280000,272000
277000,270000,272000,267000,264000
265000,268000,262000,265000,268000
263000,263000,264000,259000,259000
255000,259000,255000,262000,259000
254000,257000,257000,254000,252000
255000,252000,253000,256000,256000
257000,252000,252000,252000,252000
247000,246000,247000,244000,247000
243000,244000,242000,237000,242000
239000,240000,236000,243000,237000
235000,236000,235000,235000,234000
234000,229000,229000,226000,227000
229000,225000,228000,226000,226000
222000,218000,225000,218000,222000
216000,215000,219000,212000,216000
217000,216000,214000,272000,277000
270000,272000,267000,264000,265000
268000,262000,265000,268000,263000
263000,264000,259000,259000,255000
259000,255000,262000,259000,254000
257000,257000,254000,252000,255000
252000,253000,256000,256000,257000
252000,252000,252000,252000,247000
246000,247000,244000,247000,243000
244000,242000,237000,242000,239000
240000,236000,243000,237000,235000
236000,235000,235000,234000,234000
229000,229000,226000,227000,229000
225000,228000,226000,226000,222000
218000,225000,218000,222000,216000
215000,219000,212000,216000,217000
216000,214000,272000,277000,270000
272000,267000,264000,265000,268000
262000,265000,268000,263000,263000
264000,259000,259000,255000,259000
255000,262000,259000,254000,257000
257000,254000,252000,255000,252000
253000,256000,256000,257000,252000
252000,252000,252000,247000,246000
247000,244000,247000,243000,244000
242000,237000,242000,239000,240000
236000,243000,237000,235000,236000
235000,235000,234000,234000,229000
229000,226000,227000,229000,225000
228000,226000,226000,222000,218000
225000,218000,222000,216000,215000
219000,212000,216000,217000,216000
214000,272000
